scorer,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500
bodyparts,orelha,orelha,orelha,nariz,nariz,nariz,queixo,queixo,queixo,cervical,cervical,cervical,ombro,ombro,ombro
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,350.5454406738281,42.781219482421875,1.0,381.8869323730469,50.51402282714844,1.0,371.19744873046875,74.57095336914062,1.0,326.27911376953125,65.08539581298828,1.0,332.05255126953125,85.11022186279297,1.0
1,350.5490417480469,42.62107849121094,1.0,382.0760192871094,50.17940139770508,1.0,371.17108154296875,74.60198974609375,1.0,326.443603515625,64.91557312011719,1.0,332.2796630859375,84.75251007080078,1.0
2,350.09759521484375,42.40107345581055,1.0,382.28826904296875,50.11607360839844,1.0,371.26348876953125,74.54608154296875,1.0,326.4775390625,64.882568359375,1.0,332.14947509765625,84.84394836425781,1.0
3,349.9372253417969,42.03290557861328,1.0,382.5238342285156,50.10935974121094,1.0,371.4254150390625,74.50203704833984,1.0,326.6561279296875,64.75833892822266,1.0,332.2710266113281,84.7561264038086,1.0
4,349.71356201171875,41.469581604003906,1.0,382.7257995605469,50.01102828979492,1.0,371.40435791015625,74.46017456054688,1.0,326.749755859375,64.72344970703125,1.0,332.2840881347656,84.71439361572266,1.0
5,349.3424072265625,41.26475143432617,1.0,382.7585754394531,49.97065734863281,1.0,371.24847412109375,74.48931884765625,1.0,326.78955078125,64.64210510253906,1.0,332.27606201171875,84.88865661621094,1.0
6,348.9620056152344,41.14414978027344,1.0,382.7345886230469,49.85343933105469,1.0,371.2884521484375,74.39061737060547,1.0,326.6766662597656,64.74993133544922,1.0,332.3152160644531,84.86393737792969,1.0
7,348.3948974609375,40.766319274902344,1.0,382.96112060546875,49.91402053833008,1.0,370.81170654296875,74.228759765625,1.0,326.63385009765625,64.54471588134766,1.0,332.18695068359375,84.76105499267578,1.0
8,348.0644836425781,40.855525970458984,1.0,381.92755126953125,50.19017028808594,1.0,370.8742980957031,74.0426254272461,1.0,326.60723876953125,64.5551528930664,1.0,332.16094970703125,84.69474029541016,1.0
